source,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
gradomania_pilot_fallback,primaria,Universidade de Vigo,Galicia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de La Laguna,Canarias,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Las Palmas de Gran Canaria,Canarias,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Zaragoza,Aragon,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Oviedo,Asturias,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universitat de les Illes Balears,Illes Balears,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Cantabria,Cantabria,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Castilla-La Mancha,Castilla-La Mancha,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Extremadura,Extremadura,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad de Murcia,Murcia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad Publica de Navarra,Navarra,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,primaria,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Pais Vasco,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-primaria-20242025-org-8125.html
gradomania_pilot_fallback,infantil,Universidad de Almeria,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Cadiz,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
