source,agency,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
acsug_live_probe,ACSUG,infantil,Universidade de Santiago de Compostela,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
acsug_live_probe,ACSUG,primaria,Universidade de Santiago de Compostela,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
acsug_live_probe,ACSUG,infantil,Universidade de Vigo,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
acsug_live_probe,ACSUG,primaria,Universidade de Vigo,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
acsug_live_probe,ACSUG,infantil,Universidade da Coruna,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
acsug_live_probe,ACSUG,primaria,Universidade da Coruna,Galicia,public,presencial,2026-04-27T10:07:55.919384+00:00,http://www.acsug.es/
